material_id,formula,band_gap,formation_energy_per_atom,energy_above_hull,is_metal,is_stable,nsites,density,nelements,elements,chemsys,key
mp-3248413,PaAgBr6,1.7307,-1.349944860000004,0.0,False,True,8,4.68030158341041,3,"['Ag', 'Br', 'Pa']",Ag-Br-Pa,PaAgBr6
mp-621612,AgPb2Br5,1.9341,-1.099094383333332,0.035843713125,False,False,16,6.276837626315522,3,"['Ag', 'Br', 'Pb']",Ag-Br-Pb,AgPb2Br5
mp-1110818,Rb2PrAgBr6,3.2758,-1.848100200833332,0.056320674000001,False,False,10,3.890494761634108,4,"['Ag', 'Br', 'Pr', 'Rb']",Ag-Br-Pr-Rb,Rb2PrAgBr6
mp-3292205,Rb3AgBr16,2.035,-0.6714406184375,0.0,False,True,20,3.811536364529046,3,"['Ag', 'Br', 'Rb']",Ag-Br-Rb,Rb3AgBr16
mp-567714,Rb2AgBr3,2.6666,-1.5768502490277772,0.0,False,True,24,4.068774222744162,3,"['Ag', 'Br', 'Rb']",Ag-Br-Rb,Rb2AgBr3
mp-998212,RbAgBr3,0.0,-1.209148418833332,0.0,True,True,5,4.449690670296919,3,"['Ag', 'Br', 'Rb']",Ag-Br-Rb,RbAgBr3
mp-1110804,Rb2AgSbBr6,1.1538,-1.366274936666666,0.025189507562503,False,False,10,4.039577554820427,4,"['Ag', 'Br', 'Rb', 'Sb']",Ag-Br-Rb-Sb,Rb2AgSbBr6
mp-1111726,Rb2ScAgBr6,2.8737999999999992,-1.799523226166666,0.026484421312502,False,False,10,3.933364684424266,4,"['Ag', 'Br', 'Rb', 'Sc']",Ag-Br-Rb-Sc,Rb2ScAgBr6
mp-1110802,Rb2TaAgBr6,0.0,-1.3233529973999991,0.167478043133333,True,False,10,4.684668890561783,4,"['Ag', 'Br', 'Rb', 'Ta']",Ag-Br-Rb-Ta,Rb2TaAgBr6
mp-1111723,Rb2TlAgBr6,0.0,-1.312936539,0.000108163875,True,False,10,4.490699223048228,4,"['Ag', 'Br', 'Rb', 'Tl']",Ag-Br-Rb-Tl,Rb2TlAgBr6
mp-1110801,Rb2YAgBr6,3.3104,-1.859262088666666,0.008997185250002,False,False,10,3.874916606784515,4,"['Ag', 'Br', 'Rb', 'Y']",Ag-Br-Rb-Y,Rb2YAgBr6
mp-1105645,Ag3SBr,0.2964,-0.305716111999998,0.098312406499996,False,False,20,5.967646430204268,3,"['Ag', 'Br', 'S']",Ag-Br-S,Ag3SBr
mp-1215080,Ag12SBr,0.394499999999999,1.563036622678573,1.707332522142857,False,False,14,0.318507479664222,3,"['Ag', 'Br', 'S']",Ag-Br-S,Ag12SBr
mp-3203932,AgSe3Br,1.556,-0.186349543937498,0.0,False,True,20,5.027679915623968,3,"['Ag', 'Br', 'Se']",Ag-Br-Se,AgSe3Br
mp-676260,Ag9Te4Br3,0.0,-0.321560995416665,0.062398398437499,True,False,16,6.538585875270558,3,"['Ag', 'Br', 'Te']",Ag-Br-Te,Ag9Te4Br3
mp-568386,Ag10Te4Br3,0.9637,-0.364350311960783,0.002081343529411,False,False,68,6.979004698072393,3,"['Ag', 'Br', 'Te']",Ag-Br-Te,Ag10Te4Br3
mp-1215016,Ag5Te2Br,0.207899999999999,-0.310763617083332,0.000841444999999,False,False,64,7.391394824093044,3,"['Ag', 'Br', 'Te']",Ag-Br-Te,Ag5Te2Br
mp-998154,TlAgBr3,0.0,-0.813689626000001,0.055665225749998,True,False,5,5.795348826320991,3,"['Ag', 'Br', 'Tl']",Ag-Br-Tl,TlAgBr3
mp-3249848,UAgBr6,1.4493999999999991,-1.245508835624999,0.0,False,True,8,4.749610618124365,3,"['Ag', 'Br', 'U']",Ag-Br-U,UAgBr6
mp-29717,Ag(W3Br7)2,0.0,-0.8251726423412681,0.014560410317456,True,False,84,5.937908537178549,3,"['Ag', 'Br', 'W']",Ag-Br-W,Ag(W3Br7)2
mp-29718,AgW3Br7,2.6891,-0.817787528106059,0.0,False,True,44,6.226059589515711,3,"['Ag', 'Br', 'W']",Ag-Br-W,AgW3Br7
mp-1008653,AgC,0.0,2.236464982916667,2.236464982916667,True,False,2,7.829370446328863,2,"['Ag', 'C']",Ag-C,AgC
